university,count
"Huawei Technologies Co., Ltd.",2
University of North Carolina at Charlotte,2
Tsinghua,2
Shunsuke Saruwatari,2
"School of Computer Science and Engineering, University of Electronic Science and Technology of China (UESTC), P.R. China",2
Utah State University,2
Nanjing University of Posts and Telecommunications,2
"Guangzhou Urban Planning and Design Survey Research Institute Co., Ltd.",2
"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center",2
The Hong Kong University of Science and Technology and Nanyang Technological University,2
"Northwest University, China",2
IMDEA Networks Institute and Universidad Carlos III de Madrid,2
USTC,2
HuaZhong University of Science and Technology,2
University of Edinburgh,2
Hong Kong Polytechnic University,2
"School of Software, Shandong University",2
"School of Information Technology and Electrical Engineering, The University of Queensland",2
The State Grid Hubei Electric Power Research Institute,2
"Eye Center, Wuhan University Renmin Hospital",2
"Korea University, Korea, Republic of",2
University of Brescia/CNIT,2
Arpan Mukhopadhyay,2
IMDEA Networks and University Carlos III of Madrid,2
Nanjing University of Information Science and Technology,2
"University of Michigan, Ann Arbor",2
TU Delft,2
"Shenzhen Institute of Artificial Intelligence and Robotics for Society, The Chinese University of Hong Kong, Shenzhen",2
"University of California, San Diego",2
"Cloud Computing Research Institute, China Telecom",2
Massachusetts Institute of Technology Lincoln Laboratory,2
Wayne State University,2
"State Key Laboratory of Networking and Switching Technology, Beijing, China",2
University of Houston,2
Kennesaw State University,2
Korea Institute of Science and Technology,2
Capital Normal University,2
UT Austin,2
"University of California, Merced",2
"Tsinghua-Berkeley Shenzhen Institute, Tsinghua University",2
Ant Group,2
"University of Virginia, Co-lead author",2
Geogre Mason University,2
University of Vienna,2
University of Wisconsin,2
Northwestern Polytechnical University,2
Massachusetts Institute of Technology & Cartesian,2
NEC Laboratories Europe,2
iSINGLab at Hong Kong University of Science and Technology and Clustar,2
Baylor University,2
Massachusetts Institute of Technology Media Lab,2
Microsoft and Cornell University,2
University at Buffalo SUNY,2
University of Strasbourg,2
Xi'an Jiaotong University and Tencent Inc.,2
PKU,2
Adobe Research,2
National Key Laboratory for Multimedia Information Processing,2
Shanghai AI Laboratory and S-Lab,2
State Key Laboratory of Networking and Switching Technology,2
Microsoft and University of Southern California,2
Microsoft and Rice University,2
University of California Los Angeles,2
Esha Choukse,2
Azure Research - Systems,2
Check out the cool new ideas and the latest preliminary research on display at the Poster Session and Reception. Enjoy dinner,2
Meta Platforms,2
and Vincent Liu,2
Hong Kong University of Science & Technology,2
Protocol Labs,2
Queen Mary University of London,2
GZ,2
Tulane University,2
Huawei Cloud,2
VMware Research Group,2
Politecnico di Milano and Queen Mary University of London,2
VMware Research by Broadcom,2
Azure Research,2
The Hebrew University of Jerusalem,2
Shanghai Jiao Tong University and Shanghai Key Laboratory of Trusted Data Circulation,2
Computer Science Department,2
Google DeepMind,2
Shanghai Jiao Tong University and Huawei Technologies,2
Bytedance Inc.,2
"Tokyo Institute of Technology, Japan",2
Yuuki Nishiyama,2
"Korea Advanced Institute of Science and Technology, Korea (South)",2
"Virginia Commonwealth University, USA",2
"NXP Semiconductors, The Netherlands",2
"Cardiff University, United Kingdom (Great Britain)",2
Georgios Bouloukakis,2
"Telecom SudParis, France",2
"Missouri University of Science and Technology, USA",2
"DFKI, Germany",2
"DFKI and University of Kaiserslautern, Germany",2
Haruki Yonekura,2
"Indian Institute of Technology, Jodhpur",2
Ewha Womans University,2
IDSSE,2
Institut Polytechnique de Paris,2
JD,2
Toshiba,2
University of Bath,2
"The University of Melbourne, Australia",2
"University of Maryland Baltimore County, USA",2
"Indian Institute of Technology Jodhpur, India",2
"Lahore University of Management Sciences, Pakistan",2
"VinUniversity, Vietnam",2
"State Key Laboratory of ASIC and System, Fudan University",2
Futurewei Technologies,2
Corelight and University of California Berkeley,2
University of Wisconsin-Madison/Beihang University,2
"School of Computing, National university of Singapore",2
"School of Computing, National University of Singapore",2
VMware,2
Yunshan Networks,2
Microsoft Research India,2
KAUST,2
University of Kassel,2
Rukshani Athapathu,2
"Google / University of California, Berkeley",2
Cornell,2
Technion,2
University of Illinois Urbana Champaign,2
ByteDance China,2
USC & Google LLC,2
Tenzin Samten Ukyab,2
The University of Science and Technology of China,2
"Computer Network Information Center, CAS; University of Chinese Academy of Sciences",2
Broadcom,2
